Date,Symbol,Open,High,Low,Close,Volume,RSI,MACD,MACD_signal,MACD_diff,EMA_20,SMA_50,BB_high,BB_low,BB_mid,Price_Change,Volume_Change,sentiment_score,next_close,target
2023-01-18,INFY.NS,1416.732580138559,1423.24416242099,1412.0093515411083,1417.3287353515625,5843098,57.180389929982425,-6.297309013932363,-14.441211667691121,8.143902653758758,1387.1993577336182,1423.5632983398436,1423.3634304654925,1333.2876437532577,1378.325537109375,0.003832470678720279,-0.013430825827113746,0.0,1411.3673095703125,0
2023-01-19,INFY.NS,1412.284436925683,1421.1347382958118,1399.6739357893398,1411.3673095703125,6165284,55.33239874842609,-3.709637834249861,-12.29489690100287,8.585259066753009,1389.501067432351,1424.2410595703125,1425.8155098800837,1332.3809134597602,1379.098211669922,-0.00420609956784046,0.055139585199495134,0.0,1399.123779296875,0
2023-01-20,INFY.NS,1410.5419708855652,1416.9618628206752,1397.7021870153455,1399.123779296875,6496429,51.64101851386448,-2.616676928000743,-10.359252906402446,7.742575978401703,1390.4175161813532,1423.4239013671875,1427.8216147993483,1332.9840370561203,1380.4028259277343,-0.008674942511715855,0.05371123211842299,0.0,1419.7132568359375,1
2023-01-23,INFY.NS,1407.7906002862817,1424.574076980102,1401.4623986498889,1419.7132568359375,4855020,56.853860688513336,-0.08808340086625321,-8.30501900529521,8.216935604428956,1393.207586719885,1422.7397265625,1432.8809131088383,1332.1068554458493,1382.4938842773438,0.01471597998956864,-0.2526632708523405,0.0,1423.2899169921875,1
2023-01-24,INFY.NS,1430.7186259283192,1438.7893911638814,1421.3180708541106,1423.2899169921875,5200802,57.70673624052505,2.1793298126394802,-6.208149241708272,8.387479054347752,1396.0725705553425,1421.9675048828126,1437.5864617589225,1330.799256014515,1384.1928588867188,0.0025192834813849707,0.07122153976708634,0.0,1415.1275634765625,0
2023-01-25,INFY.NS,1418.7960730383943,1427.0502195525155,1411.2297720671163,1415.1275634765625,4158617,55.03317169145102,3.2798295733973646,-4.310553478687145,7.590383052084509,1397.8873317859347,1420.8706201171874,1440.7724703151969,1330.626003805897,1385.699237060547,-0.005734849532886721,-0.20038928611394935,0.0,1393.254150390625,0
2023-01-27,INFY.NS,1417.8789993665666,1422.4187353397176,1382.477903144469,1393.254150390625,6209955,48.54273074098718,2.359779856897603,-2.976486811570195,5.336266668467799,1397.4460764149528,1419.6187426757813,1440.8819830784212,1330.6632317653286,1385.772607421875,-0.015456849015222929,0.493274086072365,0.0,1411.2757568359375,1
2023-01-30,INFY.NS,1402.104482387963,1416.0447747672706,1394.0337160921315,1411.2757568359375,6964719,53.417296972050444,3.0496721332613106,-1.7712550226038941,4.8209271558652045,1398.763188835999,1418.6172412109374,1443.371348011647,1330.9802877305408,1387.1758178710938,0.01293490239398154,0.12154097735007752,0.0,1406.6441650390625,0
2023-01-31,INFY.NS,1420.53866769089,1420.53866769089,1387.6137712822178,1406.6441650390625,9448126,52.052548257845324,3.1859602163226555,-0.7798119748185842,3.9657721911412396,1399.5137579981956,1417.9853393554688,1444.2866689514035,1330.95916845094,1387.6229187011718,-0.0032818474875944137,0.3565695902447752,0.0,1422.55615234375,1
2023-02-01,INFY.NS,1414.3936968698845,1426.1788724013395,1401.4164349583425,1422.55615234375,6194199,56.193395491792224,4.52576371064697,0.2813031622745267,4.244460548372444,1401.7082717453911,1417.362607421875,1447.5211917977012,1330.343029393705,1388.932110595703,0.011312020267930212,-0.3443991962003894,0.0,1452.50048828125,1
2023-02-02,INFY.NS,1423.3816939621152,1455.4352511160564,1423.3816939621152,1452.50048828125,6916834,62.71855792074622,7.912613603372165,1.8075652504940543,6.105048352878111,1406.5456257011874,1417.37361328125,1457.1159867925066,1328.9060835199934,1393.01103515625,0.021049668857123782,0.1166631876050479,0.0,1466.853515625,1
2023-02-03,INFY.NS,1465.1109512577386,1471.668434244157,1442.6413310350065,1466.853515625,7040194,65.38042847846407,11.6209270840302,3.7702376172012833,7.850689466828916,1412.28923426536,1416.8159985351563,1467.620849758702,1329.7919432100482,1398.706396484375,0.009881598980206796,0.017834749250885684,0.0,1439.75244140625,0
2023-02-06,INFY.NS,1465.569600374364,1465.569600374364,1432.186140277909,1439.75244140625,4570612,57.09158386787221,12.231959621693477,5.462582018099722,6.769377603593755,1414.9047778025874,1415.6090600585937,1467.3214881565334,1341.2206505153415,1404.2710693359375,-0.01847565140627061,-0.35078323125754773,0.0,1432.919921875,0
2023-02-07,INFY.NS,1438.972940534242,1445.4387337102248,1426.2248468410608,1432.919921875,4336238,55.19181836192251,12.02624897353303,6.775315409186383,5.250933564346646,1416.6205058094838,1414.490166015625,1468.8482148353785,1346.8429472739965,1407.8455810546875,-0.004745621076757134,-0.05127847211708192,0.0,1458.691162109375,1
2023-02-08,INFY.NS,1435.7629765999538,1470.1552548640857,1435.7629765999538,1458.691162109375,7983338,60.52719428070322,13.783853823744494,8.177023092098006,5.606830731646488,1420.627234980902,1413.7830615234375,1471.6767473275754,1355.0887311880497,1413.3827392578125,0.01798512243493189,0.8410746827088365,0.0,1482.9949951171875,1
2023-02-09,INFY.NS,1463.9187005529932,1485.5170954490195,1454.6099470732718,1482.9949951171875,6904911,64.78564458826324,16.94258101101468,9.930134675881341,7.01244633513334,1426.567021660548,1413.4538110351561,1478.1005206107916,1362.0320965767082,1420.06630859375,0.01666139731227778,-0.1350847227062164,0.0,1475.245361328125,0
2023-02-10,INFY.NS,1479.2806324268656,1482.3530988577234,1464.1480299444947,1475.245361328125,4786762,62.471314394011664,18.60608501774277,11.665324744253628,6.940760273489143,1431.203054009841,1412.5632836914062,1481.3073979330347,1370.559875016184,1425.9336364746093,-0.005225664155697363,-0.3067597830008236,0.0,1437.55126953125,0
2023-02-13,INFY.NS,1464.652428439592,1464.652428439592,1436.2214796095184,1437.55126953125,4001199,52.62420290708038,16.690428868075514,12.670345569018007,4.020083299057507,1431.807645964261,1411.2710498046874,1480.0372021255175,1377.6813403549513,1428.8592712402344,-0.025551066137866063,-0.16411156435185204,0.0,1461.21337890625,1
2023-02-14,INFY.NS,1453.3718940558135,1463.7354795131805,1447.3647761462753,1461.21337890625,5043736,57.18640733004566,16.886930024397998,13.513662460094007,3.3732675643039904,1434.608191958736,1410.418125,1483.0790955770708,1380.8529967080854,1431.966046142578,0.016460010767278987,0.26055614829454865,0.0,1464.6983642578125,1
2023-02-15,INFY.NS,1452.7298068628425,1466.48671791268,1445.3927876362625,1464.6983642578125,3465747,57.830500714292796,17.12644480426934,14.236218928929075,2.890225875340265,1437.4739226538861,1410.1273950195311,1486.7450750807536,1382.4650933762775,1434.6050842285156,0.002384994143819874,-0.31286114102720686,0.0,1469.0548095703125,1
2023-02-16,INFY.NS,1467.4039353614166,1480.656382371035,1465.4320889324677,1469.0548095703125,4290289,58.66759397497334,17.466448376911785,14.882264818525618,2.584183558386167,1440.4816261697363,1410.05953125,1490.7589625312903,1383.6238133476159,1437.191387939453,0.002974295198798549,0.23791176909335854,0.0,1452.54638671875,0
2023-02-17,INFY.NS,1461.901041196995,1462.8181685754123,1444.934184696277,1452.54638671875,2857734,54.271141725512194,16.216873872995166,15.149186629419528,1.0676872435756373,1441.630650983928,1409.3927807617188,1491.8460305601513,1386.6546530335988,1439.250341796875,-0.011237445154541947,-0.33390641050055136,0.0,1460.4794921875,1
2023-02-20,INFY.NS,1453.6010366458702,1470.1552310976708,1451.3541192838827,1460.4794921875,2417716,55.97837353617369,15.68589515235658,15.256528334006939,0.4293668183496404,1443.4257787176016,1409.8174096679688,1492.2858010223176,1392.3504538604948,1442.3181274414062,0.0054615160942781404,-0.1539744426878079,0.0,1448.602783203125,0
2023-02-21,INFY.NS,1466.2115851689005,1468.9171782738615,1445.3928371814657,1448.602783203125,2723288,52.80021610543123,14.143699766751297,15.033962620555812,-0.890262853804515,1443.918826763842,1410.4098779296876,1492.6924075642157,1394.8327999553155,1443.7626037597656,-0.008132061455095263,0.12638870735851526,0.0,1432.36962890625,0
2023-02-22,INFY.NS,1433.47013701294,1444.4756658959568,1426.4083007612826,1432.36962890625,3656244,48.72804859097539,11.479292785495318,14.323028653543712,-2.8437358680483946,1442.818903158357,1410.2200341796874,1492.5429287902268,1395.8902499207109,1444.2165893554688,-0.011206076976450707,0.3425844053218021,0.0,1422.189453125,0
2023-02-23,INFY.NS,1439.7524657040512,1439.7524657040512,1419.850845363736,1422.189453125,4766854,46.31562003221272,8.448882492440134,13.148199421322996,-4.699316928882862,1440.8541936313704,1409.693603515625,1492.1379615142555,1397.0014061615257,1444.5696838378906,-0.007107226777087972,0.30375707966973753,0.0,1422.1436767578125,0
2023-02-24,INFY.NS,1430.7187958678808,1438.9729427671186,1416.9618843691512,1422.1436767578125,2790986,46.30451884190865,5.974694176652974,11.713498372388992,-5.738804195736018,1439.0722396434126,1409.8797827148437,1488.7730581527398,1403.2552621597602,1446.01416015625,-3.21872497978104e-05,-0.41450147204004995,0.0,1384.220458984375,0
2023-02-27,INFY.NS,1412.3762259804244,1412.3762259804244,1377.5253840406476,1384.220458984375,4920268,38.147109737771196,0.9429259111134343,9.55938388013388,-8.616457969020447,1433.848260533028,1409.6431640625,1493.0694982456182,1396.2532922817256,1444.661395263672,-0.026666235200577204,0.7629138949460872,0.0,1364.27294921875,0
2023-02-28,INFY.NS,1389.9983063812856,1397.7021991611691,1358.5409027983055,1364.27294921875,9679811,34.685739788110766,-4.601342607705192,6.727238582566066,-11.328581190271258,1427.2220404078587,1409.2799853515626,1500.2384991947397,1384.847169750573,1442.5428344726563,-0.014410645093528518,0.9673340964353974,0.0,1372.0687255859375,1
2023-03-01,INFY.NS,1368.721187614141,1376.4708706843962,1358.7244748581918,1372.0687255859375,5125043,37.088294084464195,-8.27082048224338,3.7276267696041767,-11.998447251847557,1421.9693437581518,1409.0736352539063,1504.9547891571688,1375.0821371123625,1440.0184631347656,0.005714235096174747,-0.47054307155377306,0.0,1350.1490478515625,0
2023-03-02,INFY.NS,1361.9341118834534,1365.2357479456998,1345.701002604229,1350.1490478515625,4644499,33.37125433081526,-12.800091451279286,0.42208312542748416,-13.22217457670677,1415.129315576572,1408.3876220703125,1510.3734717901402,1359.4283104364222,1434.9008911132812,-0.01597564125296591,-0.09376389622487069,0.0,1356.70654296875,1
2023-03-03,INFY.NS,1363.539096991639,1366.336380209989,1350.9285958423973,1356.70654296875,4615015,35.45531021395611,-15.67969056067659,-2.798271611793331,-12.88141894888326,1409.5652419948747,1407.6034765625,1510.5936905830667,1348.1933943778708,1429.3935424804688,0.004856867564082767,-0.006348155097029795,0.0,1382.5238037109375,1
2023-03-06,INFY.NS,1370.692948536,1394.4006719964857,1369.408947646476,1382.5238037109375,6561742,43.01286669996906,-15.697604213270324,-5.378138132088729,-10.319466081181595,1406.989866920214,1407.7933227539063,1510.0701618492078,1342.9940593421986,1426.5321105957032,0.019029362595756494,0.4218246311225424,0.0,1368.99609375,0
2023-03-08,INFY.NS,1367.0243593044893,1372.0226591031646,1358.3574377680816,1368.99609375,4137080,40.34704313720495,-16.61188260790368,-7.624887027251719,-8.98699558065196,1403.3714123325744,1407.6154028320314,1510.4660590350738,1336.2057793438323,1423.335919189453,-0.009784793523718527,-0.3695149855023254,0.0,1357.7154541015625,0
2023-03-09,INFY.NS,1371.105492034302,1374.177846498556,1352.3960702873087,1357.7154541015625,5104656,38.219807333999604,-18.03876847186075,-9.707663316173527,-8.331105155687222,1399.0232258343829,1406.9835034179687,1508.2921935397537,1328.282074038371,1418.2871337890624,-0.008240081691933243,0.23387896777437223,0.0,1349.598876953125,0
2023-03-10,INFY.NS,1339.0060106489143,1352.1209773156488,1336.850783639018,1349.598876953125,3699580,36.719684769524854,-19.598605220741092,-11.68585169708704,-7.912753523654052,1394.3161449885488,1406.2754809570313,1501.2229047118417,1322.0117510498771,1411.6173278808594,-0.005978113546485697,-0.2752538075043647,0.0,1316.1695556640625,0
2023-03-13,INFY.NS,1342.8579415523982,1355.7895279106722,1309.6579732857313,1316.1695556640625,8798403,31.274977045595392,-23.26408009582019,-14.001497376833669,-9.262582718986522,1386.873612671931,1404.7631372070311,1497.4103156537205,1309.9167595415918,1403.6635375976562,-0.02476982002573469,1.3782167164921422,0.0,1302.32080078125,0
2023-03-14,INFY.NS,1321.580474595621,1328.3213380398463,1294.0666548608056,1302.32080078125,7402784,29.33444275049655,-26.975517152749717,-16.59630133201688,-10.379215820732838,1378.8209639204374,1403.145322265625,1499.029287623599,1294.7747406967137,1396.9020141601563,-0.01052201429763755,-0.15862185444335752,0.0,1301.999755859375,0
